SKU,avg_daily_demand,std_daily_demand,lead_time_days,safety_stock_units,reorder_point_units
20788,2.0,0.7071067811865476,7,3,17
20791,5.425,4.90884862995335,7,21,59
20792,1.3333333333333333,0.5773502691896257,7,3,12
20793,3.0,1.4142135623730951,7,6,27
20794,1.0,0.0,7,0,7
20800,3.9210526315789473,3.061368524107853,7,13,40
20801,6.0,0.0,7,0,42
20814,12.0,0.0,7,0,84
2082,2.3,2.1051315748352692,7,9,25
20825,2.0,0.0,7,0,14
2083,3.6842105263157894,3.2888448901153056,7,14,40
20842,12.0,0.0,7,0,84
2085,6.14,5.126999361125334,7,22,65
20853,1.0,0.0,7,0,7
20854,2.0,0.0,7,0,14
20855,4.933333333333334,5.646398691362325,7,25,60
2086,1.3571428571428572,0.4972451580988469,7,2,12
20862,20.704545454545453,18.96579484775653,7,83,228
20863,14.450980392156863,14.229987667584533,7,62,163
20864,6.846153846153846,6.838507306878805,7,30,78
2087,1.1666666666666667,0.5773502691896257,7,3,11
2088,1.0,0.0,7,0,7
20883,1.0,0.0,7,0,7
20885,1.0,0.0,7,0,7
20889,1.3333333333333333,0.5773502691896258,7,3,12
2089,2.130434782608696,1.866068980165304,7,8,23
20903,10.6,19.83179265724609,7,86,160
20905,2.5,1.644294287438749,7,7,24
20912,2.9047619047619047,3.080661648165243,7,13,33
20913,1.0,0.0,7,0,7
20921,3.6470588235294117,2.9355829163598033,7,13,39
20932,2.9310344827586206,2.603994657701874,7,11,32
20935,1.0,0.0,7,0,7
20941,1.5,0.7071067811865476,7,3,14
20944,1.6666666666666667,1.4354811251305468,7,6,18
20947,12.0,0.0,7,0,84
20948,2.857142857142857,3.236694374850748,7,14,34
20952,1.0,0.0,7,0,7
20953,1.0,0.0,7,0,7
20954,1.5384615384615385,0.8770580193070292,7,4,15
2096,1.7142857142857142,0.7837638128197257,7,3,15
20963,3.6,2.4083189157584592,7,10,35
20968,10.634146341463415,10.338655854512654,7,45,119
2098,2.25,1.6746187106583263,7,7,23
20980,1.2,0.4472135954999579,7,2,10
20991,1.0,0.0,7,0,7
20992,6.566666666666666,5.7034976161537285,7,25,71
2100,27.15,21.325424469715944,7,93,283
21000,4.0,6.907552802135189,7,30,58
21001,6.617647058823529,6.315035957489476,7,27,73
21002,2.111111111111111,2.632129285419582,7,11,26
21003,4.0,0.0,7,0,28
21006,1.0,0.0,7,0,7
21008,1.3333333333333333,0.5163977794943223,7,2,11
2101,4.25,3.2389412993663127,7,14,44
21010,1.4,0.5477225575051661,7,2,12
21012,1.6666666666666667,0.816496580927726,7,4,16
21015,2.0,2.0,7,9,23
21016,2.0,0.0,7,0,14
21017,1.0,0.0,7,0,7
21019,8.0,6.108219448217804,7,27,83
21026,1.75,1.5,7,7,19
21027,2.0,1.7320508075688772,7,8,22
2103,2.259259259259259,1.5589096927658863,7,7,23
21031,1.0,0.0,7,0,7
21032,5.239130434782608,3.61592024622407,7,16,53
21033,5.578947368421052,6.096660933469697,7,27,66
21034,1.5,0.7071067811865476,7,3,14
21039,6.0,0.0,7,0,42
2104,1.5,1.0,7,4,14
21041,2.3333333333333335,2.23606797749979,7,10,26
21045,1.0,0.0,7,0,7
21046,1.0,0.0,7,0,7
2105,14.066666666666666,12.77161400504201,7,56,154
21055,4.431818181818182,3.8843617731588815,7,17,48
21058,2.1,1.1972189997378648,7,5,20
2106,1.0,0.0,7,0,7
21060,1.0,0.0,7,0,7
21076,4.0,4.049691346263318,7,18,46
21078,5.4,5.594640292279746,7,24,62
2108,1.0,0.0,7,0,7
21080,1.0,0.0,7,0,7
21081,6.0,0.0,7,0,42
21082,1.0,0.0,7,0,7
21086,2.7142857142857144,4.111540089159037,7,18,37
21087,1.0,0.0,7,0,7
2109,2.4285714285714284,1.650840611711114,7,7,24
21098,3.515151515151515,2.762711667470161,7,12,37
21099,1.7142857142857142,0.9511897312113419,7,4,16
211,2.8636363636363638,2.5112853105939745,7,11,31
21103,2.2222222222222223,3.3082388735465345,7,14,30
21105,1.5833333333333333,0.90033663737852,7,4,15
21107,1.0,0.0,7,0,7
21108,1.0,0.0,7,0,7
21109,1.75,0.9574271077563382,7,4,16
21110,1.0,0.0,7,0,7
21115,1.5384615384615385,1.126601424298216,7,5,16
21117,1.7777777777777777,1.3956046783744507,7,6,18
2112,2.8620689655172415,2.150151787516315,7,9,29
21121,2.3846153846153846,3.0424349222966556,7,13,30
21123,1.0,0.0,7,0,7
21129,6.560975609756097,4.722545820253123,7,21,67
2114,114.3,98.40340699627515,7,428,1228
21144,2.9166666666666665,2.4122273068079934,7,10,30
21145,5.882352941176471,4.878926272104083,7,21,62
2115,5.310344827586207,3.616464811662094,7,16,53
21151,3.652173913043478,2.978845042388285,7,13,39
21155,1.0,0.0,7,0,7
21157,2.6842105263157894,3.334210410926024,7,15,34
21159,1.6666666666666667,1.1547005383792517,7,5,17
2116,3.033333333333333,2.906394060822037,7,13,34
21160,1.1111111111111112,0.3333333333333333,7,1,9
21166,1.3333333333333333,0.5163977794943222,7,2,11
21168,4.0,0.0,7,0,28
21169,2.5454545454545454,3.2361593398235615,7,14,32
2117,27.066666666666666,21.277717051832724,7,93,282
21172,1.0,0.0,7,0,7
21178,1.0,0.0,7,0,7
21179,1.0,0.0,7,0,7
2118,2.0,1.4142135623730951,7,6,20
21181,3.3055555555555554,2.627540342976346,7,11,34
2119,2.5,2.073644135332772,7,9,26
21195,2.0,1.4142135623730951,7,6,20
21196,1.8333333333333333,0.408248290463863,7,2,15
2120,145.53333333333333,115.9126595017488,7,504,1523
21201,3.9130434782608696,3.031875744716621,7,13,40
21208,8.934782608695652,10.495294551820287,7,46,109
2121,10.551724137931034,9.226530042454714,7,40,114
21216,9.0,0.0,7,0,63
21217,1.0,0.0,7,0,7
21218,2.3333333333333335,2.42535625036333,7,11,27
2122,17.35,14.02639763119792,7,61,182
2123,2.65,2.2542357790099112,7,10,29
21230,1.0,0.0,7,0,7
21231,14.282051282051283,12.995846943803802,7,57,157
21232,8.487179487179487,7.129891838228074,7,31,90
21233,7.636363636363637,7.310683196181189,7,32,85
2125,4.621621621621622,2.947233649744483,7,13,45
21250,12.0,0.0,7,0,84
21251,4.206896551724138,4.4189471139694705,7,19,48
21252,36.0,0.0,7,0,252
21254,6.355555555555555,6.164987486367731,7,27,71
21259,1.0,0.0,7,0,7
21260,18.0,8.48528137423857,7,37,163
21267,4.555555555555555,4.069902033722994,7,18,50
21268,1.5,0.7559289460184544,7,3,14
2127,124.98333333333333,94.2725028959128,7,410,1285
