ds,yhat,SKU
2016-05-04,29.77347555781668,3545
2016-05-05,29.77347555781668,3545
2016-05-06,29.77347555781668,3545
2016-05-07,29.77347555781668,3545
2016-05-08,29.77347555781668,3545
2016-05-09,29.77347555781668,3545
2016-05-10,29.77347555781668,3545
2016-05-11,29.77347555781668,3545
2016-05-12,29.77347555781668,3545
2016-05-13,29.77347555781668,3545
2016-05-14,29.77347555781668,3545
2016-05-15,29.77347555781668,3545
2016-05-16,29.77347555781668,3545
2016-05-17,29.77347555781668,3545
2016-05-18,29.77347555781668,3545
2016-05-19,29.77347555781668,3545
2016-05-20,29.77347555781668,3545
2016-05-21,29.77347555781668,3545
2016-05-22,29.77347555781668,3545
2016-05-23,29.77347555781668,3545
2016-05-24,29.77347555781668,3545
2016-05-25,29.77347555781668,3545
2016-05-26,29.77347555781668,3545
