SKU,Description,total_qty,total_revenue,avg_price,n_transactions,cum_value,cum_perc,ABC
10021,Clayhouse Syrah Paso Robles,79,968.21,12.10764705882353,51,32012038.14000001,0.965981943228116,C
16778,Lange Willamette Chard,60,963.4,16.06142857142857,42,32013001.54000001,0.9660110143856611,C
5838,Agave Loco Pepper Cured Teq,36,961.64,26.682307692307692,26,32013963.18000001,0.9660400324341785,C
35972,Cambas Mavrodafne of Patras,74,961.26,12.989999999999998,23,32014924.440000013,0.966069039015974,C
13948,Cade Cab Svgn Howell Mtn,12,959.88,79.99,8,32015884.32000001,0.9660980039554636,C
39456,Charles Heidsieck Brut Rose,12,959.88,79.99,3,32016844.20000001,0.9661269688949532,C
33961,Allegrini Amarone Clsc,12,959.88,79.99,5,32017804.08000001,0.9661559338344429,C
40136,Cakebread Merlot Napa,20,959.8000000000001,47.99,15,32018763.88000001,0.9661848963598858,C
25741,Cesari Recioto Valpolicella,24,959.76,39.99,1,32019723.64000001,0.9662138576783055,C
22508,Blindfold White,32,959.68,29.99,20,32020683.32000001,0.9662428165826783,C
22339,Heartland Spice Trader Sh/CS,60,959.4,15.99,41,32021642.72000001,0.9662717670378876,C
33879,Gallo Twin Valley Wh Merlot,96,959.04,9.99,66,32022601.76000001,0.9663007066298868,C
453,Hornitos Reposado Tequila,33,958.67,29.04,20,32023560.43000001,0.9663296350569199,C
982,McCormick Long Island Iced,137,957.63,6.99,57,32024518.06000001,0.9663585321013458,C
11396,Buried Cane Cab Svgn,68,957.32,14.106279069767442,43,32025475.38000001,0.9663874197913407,C
32835,Mionetto Prosecco Superiore,53,953.4699999999999,17.99,40,32026428.85000001,0.9664161913053374,C
23848,Dom Cherrier Sancerre,53,953.4699999999999,17.99,33,32027382.320000008,0.9664449628193341,C
23650,Tom Gore Chardonnay CA,66,953.34,14.576206896551723,29,32028335.660000008,0.9664737304105049,C
29650,C Y Toro Frontera Shiraz,106,952.94,8.99,75,32029288.60000001,0.9665024859314423,C
15876,3 Brooms Svgn Bl Marlborough,57,952.43,16.626363636363635,44,32030241.03000001,0.9665312260628317,C
473,Ciroc Peach Vodka,28,951.72,33.99,5,32031192.750000007,0.9665599447695565,C
19382,Anew Rsl,76,951.24,12.369310344827586,58,32032143.990000006,0.9665886489920011,C
46599,Primaterra Primitivo,87,951.13,10.915925925925926,54,32033095.120000005,0.9666173498951315,C
1598,Johnnie Walker Odyssey,1,949.99,949.99,1,32034045.110000003,0.9666460163980962,C
4627,Wiggly Bridge Gold Rum,19,949.8100000000001,49.99,11,32034994.92,0.9666746774694558,C
269,Juarez Triple Sec,238,949.62,3.99,72,32035944.540000003,0.9667033328074545,C
13433,C Y Toro Carmenere de Casa,50,949.4999999999999,18.99,32,32036894.040000003,0.9667319845243831,C
23249,Rosemount Gewurz/Rsl,95,949.05,9.99,44,32037843.090000004,0.966760622662299,C
12235,Murrieta's Well The Spur,45,947.55,21.073333333333334,36,32038790.640000004,0.9667892155368389,C
21271,Kentia Albarino Rias Baixas,67,947.33,14.186078431372549,51,32039737.970000003,0.9668178017727505,C
40538,Phillips Incognito Lodi Rd,59,946.41,16.05818181818182,44,32040684.380000003,0.9668463602471248,C
29461,Sandeman Character Sherry,86,945.14,10.99,55,32041629.520000003,0.9668748803985074,C
8228,Wild Turkey Diamond Annivsry,7,944.9300000000001,134.99,5,32042574.450000003,0.9669033942130176,C
21058,Ayala Brut Majeur,21,944.79,44.99,13,32043519.240000002,0.9669319038029459,C
3716,Don Eduardo Anejo Tequila,27,944.73,34.99,20,32044463.970000003,0.9669604115823393,C
24575,Failla Pnt Nr Sonoma Cst,27,944.73,34.99,17,32045408.700000003,0.9669889193617326,C
5643,Flag Hill Blueberry Liqueur,63,944.37,14.99,56,32046353.070000004,0.9670174162779157,C
12589,Canyon Rd Pnt Grigio,197,943.63,4.79,16,32047296.700000003,0.9670458908641667,C
22291,Locations E Red Spanish,53,943.4699999999999,17.87235294117647,34,32048240.17,0.9670743606223243,C
3732,Pinnacle Raspberry Vodka,59,943.41,15.989999999999998,29,32049183.580000002,0.9671028285699469,C
5417,Bols Triple Sec,118,942.82,7.99,31,32050126.400000002,0.9671312787139749,C
24757,Domain Drouhin Pnt Nr Ore,23,942.7700000000001,40.99,14,32051069.17,0.9671597273492237,C
45330,Cono Sur Cab Svgn Cntrl Vly,119,939.81,7.839056603773585,53,32052008.98,0.9671880866647442,C
12656,Merriam Vyds Miktos Red,20,939.8000000000001,47.13285714285714,7,32052948.78,0.9672164456785088,C
29182,Cantele Salice Salentino Rsv,67,937.3299999999999,13.99,31,32053886.11,0.9672447301585811,C
43737,Menage a Trois Rose Blend,89,937.11,10.45938775510204,49,32054823.22,0.9672730080000249,C
5831,DiSaronno Amaretto,134,936.66,6.99,67,32055759.88,0.9673012722624561,C
1158,Old New England Choc Egg Nog,134,936.66,6.99,52,32056696.54,0.9673295365248872,C
25188,Ch Les Granges Brdx,89,936.11,10.538387096774194,62,32057632.65,0.9673577841907471,C
22942,Clos de Marquis 09 St Julien,4,935.96,233.99,2,32058568.61,0.9673860273302696,C
10734,A Bichot Chablis Long Depaqt,52,935.4799999999999,17.99,34,32059504.09,0.9674142559855117,C
41633,Prinz Salm Two Princes Nahe,62,935.38,15.1775,32,32060439.47,0.9674424816231953,C
15979,Moonlight Meadery Wild,72,935.28,12.99,63,32061374.75,0.9674707042433207,C
11745,Colores del Sol Malbec Rsv,104,934.96,8.989999999999998,58,32062309.71,0.9674989172072592,C
22340,Gerard Bertrand Languedoc Rg,85,934.15,10.99,39,32063243.86,0.9675271057289747,C
18014,Argyle Brut,42,932.5799999999999,22.086774193548386,31,32064176.439999998,0.9675552468750234,C
