SKU,Description,total_qty,total_revenue,avg_price,n_transactions,annual_demand_units,unit_cost_est,order_cost_S,holding_cost_H,EOQ_units
1595,Gentleman Jack,654,10457.460000000001,15.99,516,3978.5,15.99,200.0,3.1980000000000004,705
23357,Saddleback Clrs 09 Cab Svgn,275,10447.25,37.99,112,1672.9166666666665,37.99,200.0,7.598000000000001,297
23353,Parducci True Grit 11 Cab Sv,653,10441.47,15.99,308,3972.4166666666665,15.99,200.0,3.1980000000000004,705
3216,Fleischmanns X Dry Gin,922,10440.78,11.491030927835054,485,5608.833333333333,11.99,200.0,2.398,967
5165,Hpnotiq Liqueur,566,10438.339999999998,18.399756097560974,410,3443.1666666666665,19.99,200.0,3.9979999999999998,587
36648,Groth Cab Svgn Napa,174,10416.26,59.86096774193549,93,1058.5,59.99,200.0,11.998000000000001,188
24840,Honig Svgn Bl Napa,730,10405.7,14.252390670553934,343,4440.833333333333,13.99,200.0,2.798,797
4528,Remy Martin XO Cognac,67,10399.33,156.130350877193,57,407.5833333333333,139.99,200.0,27.998000000000005,76
3194,Grey Goose Cherry Noir Vodka,433,10387.67,23.99,248,2634.083333333333,23.99,200.0,4.798,469
24768,Vinsacro Rioja,649,10377.51,15.99,218,3948.083333333333,15.99,200.0,3.1980000000000004,703
4896,Hiram Walker Coffee Brandy,530,10376.699999999999,19.645384615384614,325,3224.1666666666665,17.99,200.0,3.598,599
29212,R Mondavi Merlot Pvt Sel,1152,10359.48,8.98151103565365,589,7008.0,7.99,200.0,1.598,1324
2692,Glenmorangie 10 Yr Scotch,255,10350.45,40.80132075471698,212,1551.25,41.99,200.0,8.398000000000001,272
29431,Clos du Val Cab Svgn Napa,299,10327.01,34.38393939393939,165,1818.9166666666665,34.99,200.0,6.998000000000001,322
2476,Crown Royal Maple Whisky,410,10267.9,25.005197568389054,329,2494.1666666666665,22.99,200.0,4.598,466
34904,Smoking Loon Chard,1076,10266.44,9.430851063829786,470,6545.666666666666,6.79,200.0,1.358,1389
4494,Jenkins French Brandy,620,10257.8,16.695882352941176,272,3771.6666666666665,15.99,200.0,3.1980000000000004,687
3609,Smirnoff Vanilla Vodka,10355,10251.45,0.99,1591,62992.916666666664,0.99,200.0,0.198,11281
14342,Cupcake Pnt Nr,1222,10246.78,8.365675675675675,555,7433.833333333333,6.99,200.0,1.3980000000000001,1458
4783,Mr Boston Apricot Brandy,827,10229.73,12.433458980044346,451,5030.916666666666,11.99,200.0,2.398,916
38772,Rob Stuart Big Fire Pnt Nr,602,10227.98,16.99,346,3662.1666666666665,17.99,200.0,3.598,638
17345,Bogle Essential Red,810,10227.9,12.826065573770492,427,4927.5,8.95,200.0,1.79,1049
3961,Grey Goose La Poire Vodka,426,10219.74,23.99,258,2591.5,23.99,200.0,4.798,465
4628,Martell Cordon Bleu,102,10198.98,99.99,40,620.5,104.99,200.0,20.998,109
32749,Brancott Svgn Bl Marlboro,905,10191.95,11.283750000000001,320,5505.416666666666,10.49,200.0,2.0980000000000003,1025
26463,Ravenswood Vints Blend Znfdl,1210,10189.9,9.050526315789474,456,7360.833333333333,7.99,200.0,1.598,1357
3133,Svedka Strwbry Lemonad Vodka,924,10156.76,10.99355871886121,562,5621.0,10.99,200.0,2.198,1011
23382,Haywood Chamizal Znfdl 09,635,10153.65,15.99,274,3862.9166666666665,15.99,200.0,3.1980000000000004,695
2960,The Macallan Fine Oak 15 Yr,98,10129.02,103.34164835164836,91,596.1666666666666,104.99,200.0,20.998,107
8440,Bailey's Espresso Creme,510,10128.9,19.89,360,3102.5,18.99,200.0,3.798,572
676,Pinnacle Whipped Vodka,811,10098.89,12.489148211243611,587,4933.583333333333,10.99,200.0,2.198,948
4385,Parrot Bay 90 Coconut Capt,404,10095.96,24.99,297,2457.6666666666665,22.99,200.0,4.598,462
2496,Crown Royal Black,190,10068.1,52.99,157,1155.8333333333333,49.99,200.0,9.998000000000001,215
4806,Leroux Blackberry Brandy,671,10058.29,14.99,396,4081.9166666666665,14.99,200.0,2.998,738
8537,Dom Chandon Brut Cuvee,605,10057.949999999999,16.978023952095807,334,3680.4166666666665,13.99,200.0,2.798,725
